date,est_ridership,pre_pandemic_ratio,est_pre_pandemic_ridership
2020-08,1304485,0.25,5217940
2020-08,1369617,0.27,5072655
2020-08,1292148,0.25,5168592
2020-08,1410489,0.27,5224033
2020-08,1387463,0.27,5138751
2020-08,882522,0.3,2941740
2020-08,671560,0.28,2398428
2020-08,1307345,0.25,5229380
2020-08,1346490,0.26,5178807
2020-08,1407639,0.27,5213477
2020-08,1358272,0.26,5224123
2020-08,1388583,0.27,5142900
2020-08,773667,0.26,2975642
2020-08,748061,0.31,2413100
2020-08,1397264,0.27,5175051
2020-09,1469274,0.25,5877096
2020-09,1487969,0.26,5722957
2020-09,1529185,0.26,5881480
2020-09,1568385,0.27,5808833
2020-09,1013725,0.31,3270080
2020-09,819409,0.32,2560653
2020-09,870964,0.34,2561658
2020-09,1555816,0.27,5762281
2020-09,1610076,0.28,5750271
2020-09,1543662,0.27,5717266
2020-09,1690334,0.29,5828737
2020-09,1083698,0.34,3187347
2020-09,796740,0.31,2570129
2020-09,1604381,0.28,5729932
2020-09,1678078,0.29,5786475
2020-09,1686909,0.29,5816927
2020-09,1692368,0.29,5835751
2020-09,1725443,0.3,5751476
2020-09,1136947,0.35,3248420
2020-09,827605,0.33,2507893
2020-09,1624139,0.28,5800496
2020-09,1698504,0.29,5856910
2020-09,1735333,0.3,5784443
2020-09,1722364,0.3,5741213
2020-09,1761591,0.31,5682551
2020-09,1120143,0.35,3200408
2020-09,846179,0.33,2564178
2020-09,1489240,0.26,5727846
2020-09,1661264,0.29,5728496
2020-09,1740820,0.3,5802733
2020-10,1809958,0.31,5838574
2020-10,1790612,0.31,5776167
2020-10,1168040,0.35,3337257
2020-10,852830,0.35,2436657
2020-10,1678792,0.29,5788937
2020-10,1758454,0.31,5672432
2020-10,1770617,0.31,5711667
2020-10,1798005,0.31,5800016
2020-10,1808079,0.31,5832512
2020-10,1170227,0.35,3343505
2020-10,848469,0.35,2424197
2020-10,1284655,0.22,5839340
2020-10,1715183,0.3,5717276
2020-10,1838682,0.32,5745881
2020-10,1853753,0.32,5792978
2020-10,1671320,0.29,5763172
2020-10,1209473,0.36,3359647
2020-10,896812,0.37,2423816
2020-10,1719153,0.3,5730510
2020-10,1780231,0.31,5742680
2020-10,1812949,0.32,5665465
2020-10,1825208,0.32,5703775
2020-10,1842588,0.32,5758087
2020-10,1185612,0.36,3293366
2020-10,885001,0.36,2458336
2020-10,1690651,0.29,5829831
2020-10,1815242,0.32,5672631
2020-10,1819352,0.32,5685475
2020-10,1705072,0.3,5683573
2020-10,1768018,0.31,5703283
2020-10,1174059,0.35,3354454
2020-11,786675,0.31,2537661
2020-11,1747908,0.31,5638412
2020-11,1602912,0.28,5724685
2020-11,1690489,0.3,5634963
2020-11,1793796,0.32,5605612
2020-11,1837314,0.33,5567618
2020-11,1246321,0.39,3195694
2020-11,927670,0.37,2507216
2020-11,1752614,0.31,5653593
2020-11,1836902,0.33,5566369
2020-11,1614812,0.64,2523143
2020-11,1776666,0.32,5552081
2020-11,1816693,0.32,5677165
2020-11,1215477,0.38,3198623
2020-11,820858,0.33,2487448
2020-11,1741750,0.31,5618548
2020-11,1788847,0.32,5590146
2020-11,1787688,0.32,5586525
2020-11,1757535,0.31,5669467
2020-11,1800423,0.32,5626321
2020-11,1157957,0.37,3129613
2020-11,817963,0.32,2556134
2020-11,1646525,0.29,5677672
2020-11,1735702,0.31,5599038
2020-11,1688227,0.3,5627423
2020-11,652276,0.26,2508753
2020-11,1263473,0.5,2526946
2020-11,1032823,0.33,3129766
2020-11,826974,0.33,2505981
2020-11,1459131,0.26,5612042
2020-12,1706348,0.32,5332337
2020-12,1699968,0.32,5312400
2020-12,1736045,0.33,5260742
2020-12,1701628,0.32,5317587
2020-12,1000240,0.3,3334133
2020-12,878393,0.35,2509694
2020-12,1656627,0.31,5343958
2020-12,1540893,0.29,5313424
2020-12,1701926,0.32,5318518
2020-12,1761336,0.33,5337381
2020-12,1786290,0.33,5413000
2020-12,1091352,0.33,3307127
2020-12,911439,0.36,2531775
2020-12,1584089,0.3,5280296
2020-12,1783388,0.33,5404206
2020-12,1569079,0.29,5410617
2020-12,1079818,0.2,5399090
2020-12,1735664,0.33,5259587
2020-12,1112827,0.34,3273020
2020-12,821265,0.32,2566453
2020-12,1716035,0.32,5362609
2020-12,1760948,0.33,5336206
2020-12,1772537,0.33,5371324
2020-12,1312480,0.25,5249920
2020-12,485208,0.19,2553726
2020-12,879170,0.26,3381423
2020-12,760350,0.3,2534500
2020-12,1510168,0.28,5393457
2020-12,1555198,0.29,5362751
2020-12,1582486,0.3,5274953
2020-12,1274984,0.24,5312433
2021-01,613692,0.29,2116179
2021-01,988418,0.37,2671400
2021-01,653187,0.31,2107054
2021-01,1557977,0.3,5193256
2021-01,1597518,0.31,5153283
2021-01,1613629,0.31,5205254
2021-01,1611099,0.31,5197093
2021-01,1619242,0.31,5223361
2021-01,990412,0.37,2676789
2021-01,763097,0.36,2119713
2021-01,1568207,0.3,5227356
2021-01,1640428,0.32,5126337
2021-01,1641652,0.32,5130162
2021-01,1647396,0.32,5148112
2021-01,1627120,0.32,5084750
2021-01,991500,0.37,2679729
2021-01,797654,0.38,2099089
2021-01,1276978,0.61,2093406
2021-01,1635915,0.32,5112234
2021-01,1575075,0.31,5080887
2021-01,1652842,0.32,5165131
2021-01,1672001,0.33,5066669
2021-01,997551,0.37,2696083
2021-01,741139,0.35,2117540
2021-01,1592468,0.31,5136993
2021-01,1550953,0.3,5169843
2021-01,1660278,0.32,5188368
2021-01,1646806,0.32,5146268
2021-01,1511680,0.29,5212689
2021-01,942615,0.35,2693185
2021-01,722853,0.35,2065294
2021-02,583230,0.11,5302090
2021-02,1005985,0.19,5294657
2021-02,1702598,0.31,5492251
2021-02,1785833,0.33,5411615
2021-02,1741015,0.32,5440671
2021-02,1148477,0.4,2871192
2021-02,652521,0.3,2175070
