date,est_ridership,pre_pandemic_ratio,est_pre_pandemic_ridership
2022-06,3381297,0.6,5635495
2022-06,3351902,0.6,5586503
2022-06,3283271,0.59,5564866
2022-06,2178024,0.68,3202976
2022-06,1724983,0.66,2613610
2022-06,3092181,0.55,5622147
2022-06,3392224,0.6,5653706
2022-06,3492805,0.62,5633556
2022-06,3297157,0.59,5588401
2022-06,3376125,0.6,5626875
2022-06,2231451,0.69,3233986
2022-06,1674607,0.64,2616573
2022-06,3168681,0.56,5658358
2022-06,3494822,0.62,5636809
2022-06,3526802,0.63,5598098
2022-06,3409624,0.61,5589547
2022-06,3247379,0.58,5598929
2022-06,2186635,0.68,3215639
2022-06,1725762,0.66,2614790
2022-06,2460659,0.94,2617722
2022-06,3339793,0.6,5566321
2022-06,3357113,0.6,5595188
2022-06,3407485,0.61,5586040
2022-06,3296412,0.59,5587138
2022-06,2286963,0.71,3221074
2022-06,2011977,0.77,2612957
2022-06,2932598,0.52,5639611
2022-06,3248338,0.58,5600582
2022-06,3249261,0.58,5602174
2022-06,3151572,0.56,5627807
2022-07,2827549,0.54,5236201
2022-07,1847093,0.65,2841681
2022-07,1654774,0.71,2330667
2022-07,1608084,0.69,2330556
2022-07,2802814,0.53,5288328
2022-07,3066462,0.58,5287003
2022-07,3115604,0.59,5280684
2022-07,2902322,0.55,5276949
2022-07,2061419,0.73,2823861
2022-07,1681041,0.72,2334779
2022-07,2876587,0.54,5327012
2022-07,3148320,0.6,5247200
2022-07,3229387,0.61,5294077
2022-07,3203104,0.61,5250990
2022-07,3021651,0.57,5301142
2022-07,2093206,0.74,2828656
2022-07,1674922,0.72,2326280
2022-07,2720012,0.52,5230792
2022-07,3169016,0.6,5281693
2022-07,3190942,0.6,5318236
2022-07,3109097,0.59,5269655
2022-07,2942752,0.56,5254914
2022-07,2028696,0.72,2817633
2022-07,1596195,0.68,2347345
2022-07,2727722,0.52,5245619
2022-07,3175001,0.6,5291668
2022-07,3232796,0.61,5299665
2022-07,3151913,0.6,5253188
2022-07,2932846,0.56,5237224
2022-07,2074421,0.73,2841672
2022-07,1649097,0.71,2322671
2022-08,2739262,0.53,5168418
2022-08,3070101,0.6,5116835
2022-08,3124038,0.61,5121373
2022-08,3049076,0.59,5167925
2022-08,2822155,0.55,5131190
2022-08,1999580,0.68,2940558
2022-08,1542311,0.65,2372786
2022-08,2705428,0.53,5104581
2022-08,3013784,0.59,5108108
2022-08,3134434,0.61,5138416
2022-08,3093548,0.6,5155913
2022-08,2963913,0.58,5110194
2022-08,2089217,0.71,2942559
2022-08,1677803,0.7,2396861
2022-08,2768347,0.54,5126568
2022-08,3045892,0.59,5162528
2022-08,3074027,0.6,5123378
2022-08,3077928,0.6,5129880
2022-08,2918737,0.57,5120591
2022-08,2038622,0.69,2954524
2022-08,1619422,0.68,2381502
2022-08,2622885,0.51,5142911
2022-08,2992615,0.58,5159681
2022-08,3020710,0.59,5119847
2022-08,3090901,0.6,5151501
2022-08,2863653,0.56,5113666
2022-08,2066542,0.7,2952202
2022-08,1651689,0.69,2393752
2022-08,2836374,0.55,5157043
2022-08,3091873,0.6,5153121
2022-08,3144027,0.61,5154142
2022-09,3114667,0.54,5767901
2022-09,2925306,0.51,5735894
2022-09,2116811,0.66,3207289
2022-09,1802349,0.71,2538519
2022-09,1691887,0.66,2563465
2022-09,3063503,0.53,5780194
2022-09,3444556,0.6,5740926
2022-09,3644407,0.63,5784773
2022-09,3481756,0.6,5802926
2022-09,2356865,0.73,3228582
2022-09,1737251,0.68,2554780
2022-09,3382150,0.59,5732457
2022-09,3618354,0.63,5743419
2022-09,3741978,0.65,5756889
2022-09,3747731,0.65,5765740
2022-09,3502358,0.61,5741570
2022-09,2350888,0.73,3220394
2022-09,1844317,0.72,2561551
2022-09,3369999,0.58,5810343
2022-09,3767024,0.65,5795421
2022-09,3878782,0.67,5789226
2022-09,3732919,0.65,5742952
2022-09,3626482,0.63,5756320
2022-09,2377091,0.74,3212285
2022-09,1759832,0.69,2550481
2022-09,2812853,0.49,5740516
2022-09,3204114,0.56,5721632
2022-09,3712354,0.64,5800553
2022-09,3707751,0.64,5793360
2022-09,3503239,0.61,5743014
2022-10,2032983,0.61,3332759
2022-10,1621851,0.66,2457350
2022-10,3370048,0.59,5711945
2022-10,3397689,0.59,5758794
2022-10,3077346,0.54,5698788
2022-10,3848909,0.67,5744640
2022-10,3591080,0.62,5792064
2022-10,2397249,0.72,3329512
2022-10,1917721,0.78,2458616
2022-10,2556722,0.44,5810731
2022-10,3649405,0.63,5792706
2022-10,3776129,0.66,5721407
2022-10,3682799,0.64,5754373
2022-10,3578772,0.62,5772212
2022-10,2363501,0.71,3328874
2022-10,1773903,0.72,2463754
2022-10,3314497,0.58,5714650
2022-10,3693627,0.64,5771292
2022-10,3814404,0.66,5779400
2022-10,3810901,0.66,5774092
2022-10,3570334,0.62,5758603
2022-10,2430406,0.73,3329323
2022-10,1740520,0.71,2451436
2022-10,3357840,0.58,5789379
2022-10,3712582,0.65,5711664
2022-10,3794534,0.66,5749293
2022-10,3892985,0.68,5724977
2022-10,3624748,0.63,5753568
2022-10,2440601,0.73,3343289
2022-10,1875953,0.76,2468359
2022-10,3410892,0.59,5781172
2022-11,3706707,0.66,5616222
2022-11,3788123,0.67,5653914
2022-11,3802455,0.67,5675305
2022-11,3586358,0.64,5603684
2022-11,2449943,0.78,3140952
2022-11,2116063,0.84,2519122
2022-11,3456868,0.61,5666996
2022-11,3431700,0.61,5625737
2022-11,3772030,0.67,5629895
2022-11,3802230,0.67,5674970
2022-11,2994708,1.19,2516561
2022-11,2431419,0.77,3157687
2022-11,1794024,0.71,2526794
2022-11,3401075,0.6,5668458
2022-11,3713627,0.66,5626707
2022-11,3751773,0.67,5599661
2022-11,3797815,0.67,5668380
2022-11,3539202,0.63,5617780
2022-11,2323449,0.74,3139795
2022-11,1721187,0.68,2531157
2022-11,3363626,0.6,5606043
2022-11,3548882,0.63,5633146
2022-11,3263998,0.58,5627582
2022-11,1382266,0.55,2513210
2022-11,2058658,0.82,2510558
